U+01D5	Ǖ	c7 95	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
U+01D6	ǖ	c7 96	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
U+01D7	Ǘ	c7 97	LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE ACCENT
U+01D8	ǘ	c7 98	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE ACCENT
U+01D9	Ǚ	c7 99	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
U+01DA	ǚ	c7 9a	LATIN SMALL LETTER U WITH DIAERESIS AND CARON
U+01DB	Ǜ	c7 9b	LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE ACCENT
U+01DC	ǜ	c7 9c	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE ACCENT
U+01DE	Ǟ	c7 9e	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
U+01DF	ǟ	c7 9f	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
U+01E0	Ǡ	c7 a0	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
U+01E1	ǡ	c7 a1	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
U+01EC	Ǭ	c7 ac	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
U+01ED	ǭ	c7 ad	LATIN SMALL LETTER O WITH OGONEK AND MACRON
U+01FA	Ǻ	c7 ba	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE ACCENT
U+01FB	ǻ	c7 bb	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE ACCENT
U+01FE	Ǿ	c7 be	LATIN CAPITAL LETTER O WITH LONG SOLIDUS OVERLAY AND ACUTE ACCENT
U+01FF	ǿ	c7 bf	LATIN SMALL LETTER O WITH LONG SOLIDUS OVERLAY AND ACUTE ACCENT
U+022A	Ȫ	c8 aa	LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
U+022B	ȫ	c8 ab	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
U+022C	Ȭ	c8 ac	LATIN CAPITAL LETTER O WITH TILDE AND MACRON
U+022D	ȭ	c8 ad	LATIN SMALL LETTER O WITH TILDE AND MACRON
U+0230	Ȱ	c8 b0	LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
U+0231	ȱ	c8 b1	LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
